0
//Rate1   Rate2   Rate3   Rate4   Rate5
20        40      40      00      00
end

1
//Index   Group   Idx1   Val1   Rate   Idx2   Val2   Rate   Idx3   Val3   Rate   Idx4   Val4   Rate   Idx5   Val5   Rate
6593      0       19     1      2000   23     4      2000   18     6      2000   16     6      2000   11     0      2000
6594      1       19     1      2000   28     4      2000   29     6      2000   30     6      2000   11     0      2000
6595      2       19     1      2000   28     4      2000   29     6      2000   30     6      2000   11     0      2000
6596      3       19     1      2000   28     4      2000   29     6      2000   30     6      2000   11     0      2000
6601      8       9      5      2000   17     2      2000   15     2      2000   14     3      2000   12     0      2000
6602      9       9      5      2000   17     2      2000   15     2      2000   14     3      2000   12     0      2000
6603      10      9      5      2000   17     2      2000   15     2      2000   14     3      2000   12     0      2000
6604      11      9      5      2000   17     2      2000   15     2      2000   14     3      2000   12     0      2000
end

2
//Group   OptIdx1   OptVal1   OptIdx2   OptVal2   OptIdx3   OptVal3
0         21        7         24        2         *         *
1         21        7         24        2         *         *
2         21        7         24        2         *         *
3	  21	    7	      24	2         31	    8
end

3
//Group   Index   Value
0         0       200
0         1       17
0         2       4
0         3       10
0         4       20
0         5       7
0         6       35
0         7       1
1         0       400
1         1       19
1         2       5
1         3       10
1         4       0
1         5       7
1         6       1
1         7       2
2         0       600
2         1       21
2         2       6
2         3       10
2         4       2
2         5       7
2         6       3
2         7       3
3	  0	  800	
3	  1	  23
3	  2	  7
3	  3	  10
3	  4	  4
3	  5	  7
3	  6	  5
3	  7	  4
3	  8	  6
end                                                                                                                          
