0
//Index   ItemIndex   RankNumber   RankOption   RankOptionRate   Name                                 Value0   Value1   Value2   Value3   Value4   Value5   Value6   Value7   Value8   Value9   Value10
0         6365        1            1            10000            "Add Elemental Damage"               30       33       38       45       54       65       78       93       113      138      168
10        6365        2            1            2000             "Add Elemental Damage Vs Fire"       226      242      258      274      290      306      337      368      399      430      461
11        6365        2            2            2000             "Add Elemental Damage Vs Water"      226      242      258      274      290      306      337      368      399      430      461
12        6365        2            3            2000             "Add Elemental Damage Vs Earth"      226      242      258      274      290      306      337      368      399      430      461
13        6365        2            4            2000             "Add Elemental Damage Vs Wind"       226      242      258      274      290      306      337      368      399      430      461
14        6365        2            5            2000             "Add Elemental Damage Vs Dark"       226      242      258      274      290      306      337      368      399      430      461
20        6365        3            1            5000             "Add Elemental Damage PvP"           30       35       43       54       66       80       97       117      142      172      207
21        6365        3            2            5000             "Add Elemental Damage PvM"           30       35       43       54       66       80       97       117      142      172      207
30        6365        4            1            5000             "Add Elemental Damage PvP"           20       23       28       35       44       55       68       83       103      128      158
31        6365        4            2            5000             "Add Elemental Damage PvM"           20       23       28       35       44       55       68       83       103      128      158
40        6365        5            1            10000            "Add Elemental Damage"               15       18       23       30       39       50       63       78       98       123      153
0         6649        1            1            10000            "Add Elemental Damage"               93       96       101      108      117      128      141      156      176      201      231
10        6649        2            1            2000             "Add Elemental Damage Vs Fire"       368      384      400      416      432      448      479      510      541      572      603
11        6649        2            2            2000             "Add Elemental Damage Vs Water"      368      384      400      416      432      448      479      510      541      572      603
12        6649        2            3            2000             "Add Elemental Damage Vs Earth"      368      384      400      416      432      448      479      510      541      572      603
13        6649        2            4            2000             "Add Elemental Damage Vs Wind"       368      384      400      416      432      448      479      510      541      572      603
14        6649        2            5            2000             "Add Elemental Damage Vs Dark"       368      384      400      416      432      448      479      510      541      572      603
20        6649        3            1            5000             "Add Elemental Damage PvP"           117      122      130      141      153      167      184      204      229      259      294
21        6649        3            2            5000             "Add Elemental Damage PvM"           117      122      130      141      153      167      184      204      229      259      294
30        6649        4            1            5000             "Add Elemental Damage PvP"           100      105      113      124      136      150      167      187      212      232      267
31        6649        4            2            5000             "Add Elemental Damage PvM"           100      105      113      124      136      150      167      187      212      232      267
