//Index   StatType   OptionIndex1   OptionIndex2   OptionIndex3   Comment
2         0          21             0              0              //Rapier
14        0          11             0              0              //Lighting Sword
32        0          37             38             0              //Sacred Glove
1025      0          1              0              0              //Morning Star
2053      1          29             0              0              //Silver Bow
2057      1          23             0              0              //Golden Crossbow
2560      2          13             0              0              //Skull Staff
3072      3          0              2              0              //Small Shield
3078      3          17             0              0              //Skull Shield
3081      3          5              0              0              //Plate Shield
3102      3          74             0              0              //Pluma Shield
3104      3          72             0              0              //Vis Shield
3114      3          143            0              0              //El Hazard Shield
3584      3          4              0              0              //Bronze Helm
3585      3          11             12             0              //Dragon Helm
3586      3          13             14             0              //Pad Helm
3587      3          19             20             0              //Legendary Helm
3588      3          16             0              0              //Bone Helm
3589      3          1              2              0              //Leather Helm
3590      3          5              6              0              //Scale Helm
3591      3          17             0              0              //Sphinx Mask
3592      3          8              0              0              //Brass Helm
3593      3          10             0              0              //Plate Helm
3594      3          21             22             0              //Vine Helm
3595      3          23             0              0              //Silk Helm
3596      3          25             0              0              //Wind Helm
3597      3          28             0              0              //Spirit Helm
3598      3          0              30             0              //Guardian Helm
3610      3          33             0              0              //Adamantine Mask
3624      3          35             36             0              //Red Wing Helm
3643      1          37             0              0              //Sacred Fire Helm
3646      3          39             0              0              //Scale Helm
3647      3          40             0              0              //Silk Helm
3648      3          41             0              0              //Sphinx Helm
3649      3          42             0              0              //Violent Wind Helm
3650      3          43             0              0              //Dark Soul Helm
3651      3          44             0              0              //Dragon Helm
3652      3          45             0              0              //Guardian Helm
3653      3          46             0              0              //Legendary Helm
3654      3          47             0              0              //Red Wing Helm
3656      3          49             0              0              //Storm Jahad Helm
3676      3          71             0              0              //Gru hill Helmet
3678      3          72             0              0              //Hirat Helmet
3679      3          74             0              0              //Sate Helmet
3680      3          76             0              0              //Robust Helmet
3681      3          77             0              0              //Princie Helmet
3682      5          78             0              0              //Bloodangel Knight Helm
3683      5          80             0              0              //Bloodangel Wizard Helm
3684      5          82             0              0              //Bloodangel Elf Helm (A)
3685      5          84             0              0              //Bloodangel Summoner Helm
3687      5          88             0              0              //Bloodangel Lord Helm
3688      5          90             0              0              //Bloodangel Fighter Helm
