//Index   Name                                 Damage   MP      BP      Range   Radio   Delay   Attr   Type   Flag   Effect   RelSkill   ReqLevel   ReqStrength   ReqDexterity   ReqVitality   ReqEnergy   ReqLeadership   ReqKillCount   ReqGuildStatus   DW      DK      FE      MG      DL      SU      RF      GL      RW      SL      GC      KM      LM
1         "Poison"                             12       42      0       6       0       0       6      1      0      55       0          30         0             0              0             140         0               0              0                1       0       0       1       0       0       0       0       1       0       0       0       1
2         "Meteorite"                          21       12      0       6       0       0       6      1      0      0        0          21         0             0              0             104         0               0              0                1       0       0       1       0       1       0       0       1       0       0       0       1
3         "Lightning"                          17       15      0       6       0       0       6      1      0      0        0          13         0             0              0             72          0               0              0                1       0       0       1       0       0       0       0       0       0       0       1       1
4         "Fire Ball"                          8        3       0       6       0       0       6      1      0      0        0          5          0             0              0             40          0               0              0                1       0       0       1       0       1       0       0       1       0       0       0       1
5         "Flame"                              25       50      0       6       6       0       6      1      0      0        0          35         0             0              0             160         0               0              0                1       0       0       1       0       0       0       0       1       0       0       0       1
6         "Teleport"                           0        30      0       0       0       0       0      *      0      0        0          17         0             0              0             88          0               0              0                1       0       0       0       0       0       0       0       0       0       0       1       0
7         "Ice"                                10       38      0       6       0       0       6      1      0      56       0          25         0             0              0             120         0               0              0                1       0       0       1       0       1       0       0       0       0       0       1       1
8         "Twister"                            35       60      0       6       6       0       6      1      0      0        0          40         0             0              0             180         0               0              0                1       0       0       1       0       0       0       0       1       0       0       1       1
9         "Evil Spirit"                        45       90      0       0       6       0       6      1      0      0        0          50         0             0              0             220         0               0              0                1       0       0       1       0       0       0       0       1       0       0       0       0
10        "Hell Fire"                          120      160     0       0       6       0       6      1      0      0        0          60         0             0              0             260         0               0              0                1       0       0       1       0       0       0       0       1       0       0       0       1
11        "Power Wave"                         14       5       0       6       0       0       6      1      0      0        0          9          0             0              0             56          0               0              0                1       0       0       1       0       1       0       0       0       0       0       1       1
12        "Aqua Beam"                          80       140     0       6       6       0       6      1      0      0        0          74         0             0              0             345         0               0              0                1       0       0       1       0       0       0       0       0       0       0       1       0
13        "Blast"                              70       150     0       3       6       0       6      1      0      0        0          80         0             0              0             500         0               0              0                1       0       0       1       0       0       0       0       1       0       0       1       0
14        "Inferno"                            100      200     0       0       6       0       6      1      0      0        0          88         0             0              0             724         0               0              0                1       0       0       1       0       0       0       0       1       0       0       0       1
15        "Teleport Party"                     0        90      25      0       0       0       0      *      0      0        0          83         0             0              0             644         0               0              0                2       0       0       0       0       0       0       0       0       0       0       2       2
