//Index   AttrType   AttrRate
1         6          150
2         6          190
3         6          180
4         6          197
5         6          120
7         6          150
8         6          140
9         6          110
10        6          130
11        6          195
12        6          140
13        6          130
14        6          110
17        6          200
19        6          180
20        6          170
21        6          190
22        6          165
23        6          185
24        6          160
38        6          110
39        6          115
40        6          160
41        6          150
42        6          125
43        6          105
49        6          150
51        6          115
52        6          130
55        6          105
56        6          125
60        6          160
61        6          135
66        6          160
78        6          115
215       6          105
223       6          120
224       6          125
225       6          125
230       6          105
232       6          135
235       6          105
236       6          135
237       6          115
238       6          105
240       6          200
241       6          190
242       6          190
243       6          150
245       6          190
247       6          150
260       6          155
261       6          155
262       6          105
263       6          115
270       6          125
276       6          110
277       6          110
279       6          110
282       6          105
284       6          110
285       6          115
288       6          125
294       6          120
344       6          138
427       6          165
495       6          135
631       6          150
723       6          105
724       6          110
725       6          130
726       6          110
727       6          130
729       6          105
730       6          105
731       6          105
732       6          105
733       6          110
734       6          110
737       6          105
739       6          110
813       6          150
1501      6          105
2001      6          105
2002      6          105
2003      6          105
2004      6          105
2005      6          105
2006      6          105
2012      6          105
2013      6          110
end
